臺灣 Taiwan,#genre#
民視第一台,http://php.jdshipin.com:8880/smt.php?id=lunghuajingdian_twn
民視台灣台,http://php.jdshipin.com:8880/smt.php?id=ftvtaiwan_twn
民視新聞台,http://php.jdshipin.com:8880/smt.php?id=ftvnew_taiwan
台視,http://php.jdshipin.com:8880/smt.php?id=ttv_taiwan	
台視新聞台,http://php.jdshipin.com:8880/smt.php?id=ttvnews_twn
中視,http://php.jdshipin.com:8880/smt.php?id=zhongshihd_twn
中視新聞台,http://php.jdshipin.com:8880/smt.php?id=zhongshinews_twn
中視經典,http://php.jdshipin.com:8880/smt.php?id=zhongshi_twn
華視,http://php.jdshipin.com:8880/smt.php?id=ctshd_twn
華藝綜合,http://php.jdshipin.com:8880/smt.php?id=weishichinese_twn
大愛一台,http://php.jdshipin.com:8880/smt.php?id=daai_twn
寰宇新聞台,http://php.jdshipin.com:8880/smt.php?id=huanyuxinwen_twn
寰宇財經台,http://php.jdshipin.com:8880/smt.php?id=huanyutaiwan_twn
年代新聞台,http://php.jdshipin.com:8880/smt.php?id=niandainews_twn
愛爾達影劇,http://php.jdshipin.com:8880/smt.php?id=eltayingju_twn
愛爾達體育 1,http://php.jdshipin.com:8880/smt.php?id=eltasport_twn
愛爾達體育 2,http://php.jdshipin.com:8880/smt.php?id=eltasport2_twn
愛爾達體育 3,http://php.jdshipin.com:8880/smt.php?id=eltasport3_twn
ELEVEN 1,http://php.jdshipin.com:8880/smt.php?id=golfchannel_twn
博斯網球,http://php.jdshipin.com:8880/smt.php?id=bositennis_twn
博斯運動1,http://php.jdshipin.com:8880/smt.php?id=bosisport1_twn
博斯運動2,http://php.jdshipin.com:8880/smt.php?id=bosisport2_twn
博斯高球1,http://php.jdshipin.com:8880/smt.php?id=bosigolf1_twn
博斯高球2,http://php.jdshipin.com:8880/smt.php?id=bosigolf2_twn
探索亞洲,http://php.jdshipin.com:8880/smt.php?id=discoverytwn_twn
探索動力,http://php.jdshipin.com:8880/smt.php?id=discoveryturbo_twn
國家地理,http://php.jdshipin.com:8880/smt.php?id=natgeohd_twn
野生動物,http://php.jdshipin.com:8880/smt.php?id=natgeowild_twn
動物星球,http://php.jdshipin.com:8880/smt.php?id=animalplanet_twn
時尚,http://php.jdshipin.com:8880/smt.php?id=fashiontv_twn
Discovery Asia,http://php.jdshipin.com:8880/smt.php?id=discoverytwn_twn
Discovery HD,http://php.jdshipin.com:8880/smt.php?id=discoveryhd_twn
東森戲劇,http://php.jdshipin.com:8880/smt.php?id=ettvdrama
東森洋片,http://php.jdshipin.com:8880/smt.php?id=ettvwestern
東森綜合,http://php.jdshipin.com:8880/smt.php?id=ettvzhonghe
東森財經新聞,http://php.jdshipin.com:8880/smt.php?id=ettvcaijing_twn
東森電影,http://php.jdshipin.com:8880/smt.php?id=ettvmovie
緯來日本台,http://php.jdshipin.com:8880/smt.php?id=videolandjapan
緯來體育台,http://php.jdshipin.com:8880/smt.php?id=videolandsport
美亞電影,http://php.jdshipin.com:8880/smt.php?id=meiyamovie_twn
BBC World News,http://php.jdshipin.com:8880/smt.php?id=bbcnews_twn
Bloomberg News,http://php.jdshipin.com:8880/smt.php?id=bloomberg_twn
Fox News,http://php.jdshipin.com:8880/smt.php?id=foxnews_twn
阿里郎,http://php.jdshipin.com:8880/smt.php?id=arirang_twn
CN卡通,http://php.jdshipin.com:8880/smt.php?id=momo1_twn
靖天卡通台,http://php.jdshipin.com:8880/smt.php?id=jingtiancartoon_twn
靖天國際台,http://php.jdshipin.com:8880/smt.php?id=jingtianintl_twn
非凡新聞台,http://php.jdshipin.com:8880/smt.php?id=feifannews_twn
龍祥時代,http://php.jdshipin.com:8880/smt.php?id=lungxiangtime_twn
龍華偶像,http://php.jdshipin.com:8880/smt.php?id=lunghuaidol_twn
龍華戲劇,http://php.jdshipin.com:8880/smt.php?id=lunghuaxiju_twn
龍華洋片,http://php.jdshipin.com:8880/smt.php?id=lunghuawestern_twn
龍華經典,http://php.jdshipin.com:8880/smt.php?id=lunghuajingdian_twn
龍華電影,http://php.jdshipin.com:8880/smt.php?id=xingwei_movie
馬來西亞 Malaysia,#genre#
TV1,http://php.jdshipin.com:8880/smt.php?id=TV1
TV1(備用),http://php.jdshipin.com:8880/smt.php?id=TV1_backup
TV2,http://php.jdshipin.com:8880/smt.php?id=TV2
TV3,http://php.jdshipin.com:8880/smt.php?id=TV3
TV3(備用),http://php.jdshipin.com:8880/smt.php?id=tv3_twn
NTV7,http://php.jdshipin.com:8880/smt.php?id=NTV7
TV8,http://php.jdshipin.com:8880/smt.php?id=TV8
TV9,http://php.jdshipin.com:8880/smt.php?id=TV9
Warna,http://php.jdshipin.com:8880/smt.php?id=Warna-O
Warna(備用),http://php.jdshipin.com:8880/smt.php?id=Warna
Ria,http://php.jdshipin.com:8880/smt.php?id=Ria-0
Ria(備用),http://php.jdshipin.com:8880/smt.php?id=Ria49
Ria-3,http://php.jdshipin.com:8880/smt.php?id=Ria_quanjia
Al-Hijrah,http://php.jdshipin.com:8880/smt.php?id=Alhijrah
Al-Hijrah(備用),http://php.jdshipin.com:8880/smt.php?id=Alhijrah_backup
Awani,http://php.jdshipin.com:8880/smt.php?id=Awani
Bernama,http://php.jdshipin.com:8880/smt.php?id=Bernama
Prima,http://php.jdshipin.com:8880/smt.php?id=Prima-0
Prima(備用),http://php.jdshipin.com:8880/smt.php?id=Prima49
Ceria,http://php.jdshipin.com:8880/smt.php?id=Ceria
Astro MTV,http://php.jdshipin.com:8880/smt.php?id=AstroMTV
Mecca Live HD,http://php.jdshipin.com:8880/smt.php?id=quran_mido
Madinah HD,http://php.jdshipin.com:8880/smt.php?id=sunnah_mido
Oasis,http://php.jdshipin.com:8880/smt.php?id=Oasis
HBO HD,http://php.jdshipin.com:8880/smt.php?id=Hbo
HBO Signature,http://php.jdshipin.com:8880/smt.php?id=Hbosignature
HBO Hits,http://php.jdshipin.com:8880/smt.php?id=Hbohits
NatGeo Wild HD,http://php.jdshipin.com:8880/smt.php?id=Natgeowild
Cartoon Network,http://php.jdshipin.com:8880/smt.php?id=Cn
Nickelodeon,http://php.jdshipin.com:8880/smt.php?id=Nickelodeon
Nick Jr,http://php.jdshipin.com:8880/smt.php?id=Nickjr
Citra,http://php.jdshipin.com:8880/smt.php?id=Citra
Sensasi,http://php.jdshipin.com:8880/smt.php?id=Sensasi
Aura,http://php.jdshipin.com:8880/smt.php?id=Aura
Rania,http://php.jdshipin.com:8880/smt.php?id=Rania
Boo,http://php.jdshipin.com:8880/smt.php?id=Boo
Awesome TV,http://php.jdshipin.com:8880/smt.php?id=Awesome_mega
Sony HD,http://php.jdshipin.com:8880/smt.php?id=SetOne
KBS World,http://php.jdshipin.com:8880/smt.php?id=KBS
TvN,http://php.jdshipin.com:8880/smt.php?id=TVN
Astro Premier,http://php.jdshipin.com:8880/smt.php?id=Astropremier
AEC,http://php.jdshipin.com:8880/smt.php?id=AEC
華麗台 HD,http://php.jdshipin.com:8880/smt.php?id=Wlt
歡喜台 HD,http://php.jdshipin.com:8880/smt.php?id=Huahee
歡喜台(備用),http://php.jdshipin.com:8880/smt.php?id=Huahee_backup
Astro QJ,http://php.jdshipin.com:8880/smt.php?id=Quanjia
TVB Jade,http://php.jdshipin.com:8880/smt.php?id=Tvbjade
TVBS Asia,http://php.jdshipin.com:8880/smt.php?id=Tvbasia
TVB Entertainment,http://php.jdshipin.com:8880/smt.php?id=Tvbentertainment
TVB Classic,http://php.jdshipin.com:8880/smt.php?id=Tvbclassic
AOD,http://php.jdshipin.com:8880/smt.php?id=AodHD
One,http://php.jdshipin.com:8880/smt.php?id=One_mega
TVB 星河台,http://php.jdshipin.com:8880/smt.php?id=Xinhe
愛奇藝,http://php.jdshipin.com:8880/smt.php?id=Qiyi
Animal Planet (Eng),http://php.jdshipin.com:8880/smt.php?id=AnimalPlanet
tvN Movie,http://php.jdshipin.com:8880/smt.php?id=Tvnmovie
CNN(備用),http://php.jdshipin.com:8880/smt.php?id=cnn_twn
Celestial Classic,http://php.jdshipin.com:8880/smt.php?id=Celestial2
CNBC,http://php.jdshipin.com:8880/smt.php?id=cnbc_twn
RTM Sports HD,http://php.jdshipin.com:8880/smt.php?id=Rtmsport
TLC,http://php.jdshipin.com:8880/smt.php?id=Tlc
CNA,http://php.jdshipin.com:8880/smt.php?id=cna
AFC 亞洲旅遊台,http://php.jdshipin.com:8880/smt.php?id=asiatravel_twn
BBC World News,http://php.jdshipin.com:8880/smt.php?id=bbcnews_twn
Foodnetwork Hd,http://php.jdshipin.com:8880/smt.php?id=Foodnetwork_mega
HGTV,http://php.jdshipin.com:8880/smt.php?id=HGTV
Arena,http://php.jdshipin.com:8880/smt.php?id=Arena
Goshop,http://php.jdshipin.com:8880/smt.php?id=Goshop
Celestial Movies HD,http://php.jdshipin.com:8880/smt.php?id=Celestial_mega
Arena 2,http://php.jdshipin.com:8880/smt.php?id=Arena2
Axn HD,http://php.jdshipin.com:8880/smt.php?id=Axn
Paramount Network,http://php.jdshipin.com:8880/smt.php?id=Paramountnetwork
BolaArena 1,http://php.jdshipin.com:8880/smt.php?id=Bolaarena1
Astrol Kplus,http://php.jdshipin.com:8880/smt.php?id=Kplus
Rock Actions,http://php.jdshipin.com:8880/smt.php?id=Rockaction
Bloomberg News,http://php.jdshipin.com:8880/smt.php?id=bloomberg_twn
Al-Jazeera,http://php.jdshipin.com:8880/smt.php?id=aljazeera_twn
Rock Entertainment,http://php.jdshipin.com:8880/smt.php?id=Rockentertain
Showcase,http://php.jdshipin.com:8880/smt.php?id=Showcase_mega
BolaArena 2,http://php.jdshipin.com:8880/smt.php?id=Bolaarena2
新加坡 Singapore,#genre#
Channel 5,http://php.jdshipin.com:8880/smt.php?id=Channel5HD
Channel 5(備用),http://php.jdshipin.com:8880/smt.php?id=Ch5_mega
Channel 8,http://php.jdshipin.com:8880/smt.php?id=Channel8HD
Channel 8(備用),http://php.jdshipin.com:8880/smt.php?id=Ch8_mega
Suria,http://php.jdshipin.com:8880/smt.php?id=Suria
Suria(備用),http://php.jdshipin.com:8880/smt.php?id=Suria_backup
Channel U,http://php.jdshipin.com:8880/smt.php?id=ChannelU
Channel U(備用),http://php.jdshipin.com:8880/smt.php?id=ChU_mega
Vasantham,http://php.jdshipin.com:8880/smt.php?id=Vasantham
Vasantham(備用),http://php.jdshipin.com:8880/smt.php?id=Vasantham_mega
CNA,http://php.jdshipin.com:8880/smt.php?id=cna
CNA(備用),http://php.jdshipin.com:8880/smt.php?id=cna_twn
印尼 Indonesia,#genre#
TVRI National,http://php.jdshipin.com:8880/smt.php?id=TVRI
RCTI,http://php.jdshipin.com:8880/smt.php?id=Rcti
Kompass TV,http://php.jdshipin.com:8880/smt.php?id=Kompass
Berita Satu,http://php.jdshipin.com:8880/smt.php?id=BeritaSatu_eko
Indosiar HD,http://php.jdshipin.com:8880/smt.php?id=Indosiar
AnTV,http://php.jdshipin.com:8880/smt.php?id=Antv
MNC TV,http://php.jdshipin.com:8880/smt.php?id=Mnctv
Trans 7,http://php.jdshipin.com:8880/smt.php?id=Trans7_eko
Transtv,http://php.jdshipin.com:8880/smt.php?id=Transtv
JTV,http://php.jdshipin.com:8880/smt.php?id=JTV_eko
Metro TV,http://php.jdshipin.com:8880/smt.php?id=metrotv_eko
Cinemax,http://php.jdshipin.com:8880/smt.php?id=Cinemax
SCTV,http://php.jdshipin.com:8880/smt.php?id=SCTV
Tvone,http://php.jdshipin.com:8880/smt.php?id=Tvone
TVMU,http://php.jdshipin.com:8880/smt.php?id=TVMU_eko
GTV,http://php.jdshipin.com:8880/smt.php?id=Gtv
RTV,http://php.jdshipin.com:8880/smt.php?id=Rtv
Jak TV,http://php.jdshipin.com:8880/smt.php?id=JakTV
iNews TV,http://php.jdshipin.com:8880/smt.php?id=Inewstv
Daai TV,http://php.jdshipin.com:8880/smt.php?id=DaaiTV
Net TV,http://php.jdshipin.com:8880/smt.php?id=NetTV
Animax,http://php.jdshipin.com:8880/smt.php?id=Animax
EWTN,http://php.jdshipin.com:8880/smt.php?id=Ewtn
AlQuran AlKareem,http://php.jdshipin.com:8880/smt.php?id=AlQuran
Tawaf TV,http://php.jdshipin.com:8880/smt.php?id=TawafTV
Vision Prime,http://php.jdshipin.com:8880/smt.php?id=VisionPrime
Muslim TV,http://php.jdshipin.com:8880/smt.php?id=MuslimTV
Music TV,http://php.jdshipin.com:8880/smt.php?id=MusicTV
Lifestyle&Fashion,http://php.jdshipin.com:8880/smt.php?id=Lifestyle
Entertain,http://php.jdshipin.com:8880/smt.php?id=Entertain
Hits,http://php.jdshipin.com:8880/smt.php?id=Hits
Warner TV,http://php.jdshipin.com:8880/smt.php?id=WarnerTV
SCM,http://php.jdshipin.com:8880/smt.php?id=Weishimovie
Thrill,http://php.jdshipin.com:8880/smt.php?id=Thrill
Fight Sports,http://php.jdshipin.com:8880/smt.php?id=Fs
Beinsports 2 HD,http://php.jdshipin.com:8880/smt.php?id=Bein2hd
Hits Movie,http://php.jdshipin.com:8880/smt.php?id=Hitsmovie
One,http://php.jdshipin.com:8880/smt.php?id=One_mega
tvN Movie,http://php.jdshipin.com:8880/smt.php?id=Tvnmovie
Celestial Movies HD,http://php.jdshipin.com:8880/smt.php?id=Celestialindo
Rock Actions,http://php.jdshipin.com:8880/smt.php?id=Rockaction
Rock Entertainment,http://php.jdshipin.com:8880/smt.php?id=Rockentertain
香港 Hongkong,#genre#
J2(備用),http://php.jdshipin.com:8880/smt.php?id=j2_hkdavid
J2,http://php.jdshipin.com:8880/smt.php?id=j2_twn
RHK 31,http://php.jdshipin.com:8880/smt.php?id=rhk31_twn
RHK 32,http://php.jdshipin.com:8880/smt.php?id=rhk32_twn
TVB 星河,http://php.jdshipin.com:8880/smt.php?id=tvbxinhe_twn
VIUTV1,http://php.jdshipin.com:8880/smt.php?id=viu1_twn
Viu TV 69,http://php.jdshipin.com:8880/smt.php?id=viutv69_hkdavid
Viu6,http://php.jdshipin.com:8880/smt.php?id=viusix_twn
iNews 新聞台,http://php.jdshipin.com:8880/smt.php?id=inews_twn
無線財經資訊台,http://php.jdshipin.com:8880/smt.php?id=tvbcaijing_twn
珍珠台(備用),http://php.jdshipin.com:8880/smt.php?id=pearl_hkdavid
珍珠台,http://php.jdshipin.com:8880/smt.php?id=pearl_twn
翡翠台(備用),http://php.jdshipin.com:8880/smt.php?id=jade_mike
翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
鳳凰衛視,http://php.jdshipin.com:8880/smt.php?id=phoenixtv_hd
鳳凰資訊,http://php.jdshipin.com:8880/smt.php?id=phoenixinfo_hd
鳳凰香港,http://php.jdshipin.com:8880/smt.php?id=hkphoenix_twn
中國 China,#genre#
CCTV-1,http://php.jdshipin.com:8880/smt.php?id=cctv1
CCTV-2,http://php.jdshipin.com:8880/smt.php?id=cctv2
CCTV-3,http://php.jdshipin.com:8880/smt.php?id=cctv3
CCTV-4,http://php.jdshipin.com:8880/smt.php?id=cctv4
CCTV-4 ,http://php.jdshipin.com:8880/smt.php?id=Cctv4
CCTV-5,http://php.jdshipin.com:8880/smt.php?id=cctv5
CCTV-5+,http://php.jdshipin.com:8880/smt.php?id=cctv5plus
CCTV-6,http://php.jdshipin.com:8880/smt.php?id=cctv6
CCTV-7,http://php.jdshipin.com:8880/smt.php?id=cctv7
CCTV-8,http://php.jdshipin.com:8880/smt.php?id=cctv8hd
CCTV-9,http://php.jdshipin.com:8880/smt.php?id=cctv9hd
CCTV-10,http://php.jdshipin.com:8880/smt.php?id=cctv10hd
CCTV-11,http://php.jdshipin.com:8880/smt.php?id=cctv11
CCTV-12,http://php.jdshipin.com:8880/smt.php?id=cctv12
CCTV-13,http://php.jdshipin.com:8880/smt.php?id=cctv13
CCTV-14,http://php.jdshipin.com:8880/smt.php?id=cctv14
CCTV-15,http://php.jdshipin.com:8880/smt.php?id=cctv15
CCTV-16,http://php.jdshipin.com:8880/smt.php?id=cctv16
CCTV-17,http://php.jdshipin.com:8880/smt.php?id=cctv17
湖南衛視,http://php.jdshipin.com:8880/smt.php?id=hunan_twn
江蘇衛視,http://php.jdshipin.com:8880/smt.php?id=jiangsu_twn
深圳衛視,http://php.jdshipin.com:8880/smt.php?id=shenzhen
大灣區衛視,http://php.jdshipin.com:8880/smt.php?id=nanfang_twn
廣東衛視,http://php.jdshipin.com:8880/smt.php?id=guangdongweishi_twn
北京衛視,http://php.jdshipin.com:8880/smt.php?id=beijing
廣東珠江,http://php.jdshipin.com:8880/smt.php?id=zhujiang
廣西衛視,http://php.jdshipin.com:8880/smt.php?id=guangxi
湖北衛視,http://php.jdshipin.com:8880/smt.php?id=hubei
四川衛視,http://php.jdshipin.com:8880/smt.php?id=sichuan_twn
鳳凰衛視,http://php.jdshipin.com:8880/smt.php?id=phoenixtv_hd
東方衛視,http://php.jdshipin.com:8880/smt.php?id=dongfangweishi_twn
CGTN,http://php.jdshipin.com:8880/smt.php?id=CGTN
鳳凰資訊,http://php.jdshipin.com:8880/smt.php?id=phoenixinfo_hd
體育 Sports,#genre#
Supersports 1,http://php.jdshipin.com:8880/smt.php?id=Assp1
Supersports 1(備用),http://php.jdshipin.com:8880/smt.php?id=go_assp1
Supersportq 1(備用2),http://php.jdshipin.com:8880/smt.php?id=Assp1_mega
Supersports 2,http://php.jdshipin.com:8880/smt.php?id=Assp2
Supersports 2(備用),http://php.jdshipin.com:8880/smt.php?id=go_assp2
Supersports 3,http://php.jdshipin.com:8880/smt.php?id=Assp3
Supersports 3(備用),http://php.jdshipin.com:8880/smt.php?id=go_assp3
Supersports 3(備用2),http://php.jdshipin.com:8880/smt.php?id=Assp3_mega
Supersports 4,http://php.jdshipin.com:8880/smt.php?id=Assp4_mega
Supersports 4(備用),http://php.jdshipin.com:8880/smt.php?id=go_assp4
Supersports 5,http://php.jdshipin.com:8880/smt.php?id=go_assp5
Bein 2HD,http://php.jdshipin.com:8880/smt.php?id=Beinhd
Beinsports HD,http://php.jdshipin.com:8880/smt.php?id=Besports
Champion 5 EPL,http://php.jdshipin.com:8880/smt.php?id=Champion5epl
WWE,http://php.jdshipin.com:8880/smt.php?id=Wwe
Champion 6 EPL,http://php.jdshipin.com:8880/smt.php?id=Champion6epl
Fight Sports,http://php.jdshipin.com:8880/smt.php?id=Fs
UFC Network,http://php.jdshipin.com:8880/smt.php?id=ufc_mega
NBA TV,http://php.jdshipin.com:8880/smt.php?id=nbatv_twn
Astro Cricket,http://php.jdshipin.com:8880/smt.php?id=Acricket_mega
Astro Golf,http://php.jdshipin.com:8880/smt.php?id=Agolf
TNT Sports 1,http://php.jdshipin.com:8880/smt.php?id=beeone
TNT Sports 2,http://php.jdshipin.com:8880/smt.php?id=beetwo
TNT Sports 3,http://php.jdshipin.com:8880/smt.php?id=beethree
TNT Sports 4,http://php.jdshipin.com:8880/smt.php?id=beefour
Sony Ten 1,http://php.jdshipin.com:8880/smt.php?id=ten1_raj
Sony Ten 2,http://php.jdshipin.com:8880/smt.php?id=ten2_raj
Sony Ten 3,http://php.jdshipin.com:8880/smt.php?id=ten3_raj
SPOTV 1 HD,http://php.jdshipin.com:8880/smt.php?id=go_spotv
SPO TV 2,http://php.jdshipin.com:8880/smt.php?id=go_spotv2
Beinsports 2 HD,http://php.jdshipin.com:8880/smt.php?id=Bein2hd
Skysports Arena,http://php.jdshipin.com:8880/smt.php?id=tiankongarena
Skysports F1,http://php.jdshipin.com:8880/smt.php?id=tiankongf1
Skysports Cricket,http://php.jdshipin.com:8880/smt.php?id=tiankongcricket
Skysports EPL,http://php.jdshipin.com:8880/smt.php?id=tiankongepl
Skysports Football,http://php.jdshipin.com:8880/smt.php?id=tiankongfootball
Skysports Golf,http://php.jdshipin.com:8880/smt.php?id=tiankonggolf
Skysports Main Event,http://php.jdshipin.com:8880/smt.php?id=tiankongmain
Skysports News,http://php.jdshipin.com:8880/smt.php?id=tiankongnews
Skysports NFL,http://php.jdshipin.com:8880/smt.php?id=tiankongnfl
Skysports Racing,http://php.jdshipin.com:8880/smt.php?id=tiankongracing
Skysports Mix,http://php.jdshipin.com:8880/smt.php?id=tiankongmix
CCTV-5,http://php.jdshipin.com:8880/smt.php?id=cctv5
CCTV-5+,http://php.jdshipin.com:8880/smt.php?id=cctv5plus
愛爾達體育2台,http://php.jdshipin.com:8880/smt.php?id=eltasport2_twn
愛爾達體育3台,http://php.jdshipin.com:8880/smt.php?id=eltasport3_twn
RTM Sports HD,http://php.jdshipin.com:8880/smt.php?id=Rtmsport
Arena,http://php.jdshipin.com:8880/smt.php?id=Arena
Arena 2,http://php.jdshipin.com:8880/smt.php?id=Arena2
BolaArena 1,http://php.jdshipin.com:8880/smt.php?id=Bolaarena1
Bein 1 Sports,http://php.jdshipin.com:8880/smt.php?id=bein1_mega
Bein 2 Sports,http://php.jdshipin.com:8880/smt.php?id=bein2_mega
Bein 3 Sports,http://php.jdshipin.com:8880/smt.php?id=bein3_mega
Bein 4 Sports,http://php.jdshipin.com:8880/smt.php?id=bein4_mega
Bein 5 Sports,http://php.jdshipin.com:8880/smt.php?id=bein5_mega
Bein 6 Sports,http://php.jdshipin.com:8880/smt.php?id=bein6_mega
Bein 7 Sports,http://php.jdshipin.com:8880/smt.php?id=bein7_mega
Rugby Pass TV,http://php.jdshipin.com:8880/smt.php?id=Rugbypasstv
BolaArena 2,http://php.jdshipin.com:8880/smt.php?id=Bolaarena2
印度 Indian,#genre#
Sun TV HD,http://php.jdshipin.com:8880/smt.php?id=Suntv
Star Vijay,http://php.jdshipin.com:8880/smt.php?id=Starvijay
Colors Tamil,http://php.jdshipin.com:8880/smt.php?id=Colorstam_mega
Sun Music,http://php.jdshipin.com:8880/smt.php?id=Sunmusic
Astro Sunlife,http://php.jdshipin.com:8880/smt.php?id=Sunlife
Astro Vaanavil,http://php.jdshipin.com:8880/smt.php?id=Vaanavil
Zee Tamil,http://php.jdshipin.com:8880/smt.php?id=Zeetamil
Zee Business,http://php.jdshipin.com:8880/smt.php?id=Zeebusiness
News 18 Tamil,http://php.jdshipin.com:8880/smt.php?id=news18tamil_raj
Adithya,http://php.jdshipin.com:8880/smt.php?id=Adithya
Makkal TV,http://php.jdshipin.com:8880/smt.php?id=Makkaltv
Zee Action,http://php.jdshipin.com:8880/smt.php?id=Zeeaction
Astro KTV,http://php.jdshipin.com:8880/smt.php?id=Astroktv
Zee TV HD,http://php.jdshipin.com:8880/smt.php?id=Zeetvhd
Zee Cinema HD,http://php.jdshipin.com:8880/smt.php?id=Zeecinemahd
Color HD,http://php.jdshipin.com:8880/smt.php?id=Colorhd
Starplus HD,http://php.jdshipin.com:8880/smt.php?id=Starplushd
Picture HD,http://php.jdshipin.com:8880/smt.php?id=Npicture
Zee News,http://php.jdshipin.com:8880/smt.php?id=Zeenews
Asianet,http://php.jdshipin.com:8880/smt.php?id=asianet_raj
Asianet News,http://php.jdshipin.com:8880/smt.php?id=asianetnews_raj
Times Now,http://php.jdshipin.com:8880/smt.php?id=timesnow_mega
BBC Earth Tamil,http://php.jdshipin.com:8880/smt.php?id=bbcearthtam_raj
Discovery World Tamil,http://php.jdshipin.com:8880/smt.php?id=discoveryworldtam_raj
History Tamil,http://php.jdshipin.com:8880/smt.php?id=historytam_raj
NatGeo Tamil,http://php.jdshipin.com:8880/smt.php?id=natgeotamil_raj
Natgeo Wild Tamil,http://php.jdshipin.com:8880/smt.php?id=natgeowildtamil_raj
Discovery Kids Tamil,http://php.jdshipin.com:8880/smt.php?id=discoverykidtamil_raj
Discovery Tamil,http://php.jdshipin.com:8880/smt.php?id=discoverytamil_raj
Sony Yay Tamil,http://php.jdshipin.com:8880/smt.php?id=sonyyaytam_raj
Sun TV India,http://php.jdshipin.com:8880/smt.php?id=suntv_raj
Starmaa HD,http://php.jdshipin.com:8880/smt.php?id=starmaa_raj
Starmaa Movies HD,http://php.jdshipin.com:8880/smt.php?id=starmaamovies_raj
Bollyone,http://php.jdshipin.com:8880/smt.php?id=Bollyone
Astro Sunmusic,http://php.jdshipin.com:8880/smt.php?id=Sunmusic
Sony Pix HD,http://php.jdshipin.com:8880/smt.php?id=sonypix_mega
Vijay Super,http://php.jdshipin.com:8880/smt.php?id=vijaysuper_raj
電影 Movie,#genre#
AXN,http://php.jdshipin.com:8880/smt.php?id=axn_twn
Animax,http://php.jdshipin.com:8880/smt.php?id=Animax
Astrol Kplus,http://php.jdshipin.com:8880/smt.php?id=Kplus
Axn HD,http://php.jdshipin.com:8880/smt.php?id=Axn
CCTV-6,http://php.jdshipin.com:8880/smt.php?id=cctv6
CINEMAX,http://php.jdshipin.com:8880/smt.php?id=cinemax_twn
Celestial Classic,http://php.jdshipin.com:8880/smt.php?id=Celestial2
Celestial Movies HD,http://php.jdshipin.com:8880/smt.php?id=Celestialindo
Cinemax,http://php.jdshipin.com:8880/smt.php?id=Cinemax
HBO Family,http://php.jdshipin.com:8880/smt.php?id=Hbofamily
HBO HD,http://php.jdshipin.com:8880/smt.php?id=Hbo
HBO Hits,http://php.jdshipin.com:8880/smt.php?id=Hbohits
HBO Signature,http://php.jdshipin.com:8880/smt.php?id=Hbosignature
HBO_HD,http://php.jdshipin.com:8880/smt.php?id=hbohd_twn
HBO_HITS,http://php.jdshipin.com:8880/smt.php?id=hbohits_twn
Hits Movie,http://php.jdshipin.com:8880/smt.php?id=Hitsmovie
Hits,http://php.jdshipin.com:8880/smt.php?id=Hits
Hollywood Movies,http://php.jdshipin.com:8880/smt.php?id=hollywoodmovies_twn
Movies Now HD,http://php.jdshipin.com:8880/smt.php?id=moviesnow_raj
One,http://php.jdshipin.com:8880/smt.php?id=One_mega
Paramount Network,http://php.jdshipin.com:8880/smt.php?id=Paramountnetwork
